decision logAST debtRatio debtRatio2 ProfibilityRatio VentureDummy underwriterRating logRevenue DebtPaymentDummy logMarket NASDAQ30dayReturn logNumIPOS
0 3.810433 0.03314147 -0.08259907 -0.08259907 1 8.83 0.7246458 0 17.12970 -0.0143 3.688879
0 3.509783 0.09102599 -0.2299871 -0.2299871 1 8.5 1.234308 0 16.99356 -0.0298 3.688879
0 3.282939 0.02756247 -0.1174308 -0.1174421 1 8.88 -0.1075852 0 16.88820 0.009 4.248495
0 3.39439 0.0727734 0.06045845 0.03515343 1 8.5 2.945 0 16.90655 0.0317 4.248495
0 3.983748 0 0.0001861573 0.0001861573 1 7.5 2.915119 0 17.29675 0.0261 4.248495
0 4.981634 0.5504109 -0.01765963 -0.01765963 1 7.38 -0.4334156 1 17.47907 0.0173 4.248495
0 3.095940 0.01510268 -0.09412882 -0.09412882 1 7 0.9098702 0 16.70588 0.0168 4.248495
0 3.975611 0 -0.03369300 -0.03369300 1 9 -0.627972 0 17.37086 0.0131 4.248495
0 4.112708 0.09850766 0.01849064 0.05488284 1 8.88 4.427131 1 16.99356 -1e-04 3.737670
0 3.660002 0.006340144 -0.07281947 -0.07281947 1 8.83 -1.591181 0 16.81124 0.0369 3.737670
0 3.429202 0.01484507 -0.1279009 -0.1279009 1 9 1.493353 0 16.90655 0.0145 3.737670
0 5.278298 0.4895172 -0.05610194 -0.05610194 1 9 4.97283 1 17.66139 0.0263 3.737670
0 2.723498 0.007573825 -0.1720703 -0.1720703 1 6 -2.255396 0 16.47577 0.0269 3.737670
0 3.626278 0.08056379 0.02994194 0.02995006 1 8.63 3.11538 1 17.12970 0.0269 3.737670
0 2.904768 0.1095230 -0.007730738 -0.007760309 1 5 1.848992 0 16.45457 -0.011 3.332205
0 4.286341 0.634099 -0.04928473 -0.04928473 1 8.83 4.611619 1 17.68671 0.0012 3.637586
0 3.493169 0.03471462 -0.254906 -0.254906 1 8.75 0.9716058 0 16.96825 0.0261 4.248495
0 4.642784 0.5411382 -0.05503067 -0.05503067 1 8.83 4.219361 1 17.43182 0.0261 4.248495
0 3.64652 0.1140033 -0.2700019 -0.2700019 1 8.75 -4.618559 0 17.37656 0.0261 4.248495
0 3.581781 0.2584219 0.01507540 0.028542 1 5 2.519715 1 16.81124 0.0083 4.248495
1 1.546924 0.1490313 0.02129019 0.02129019 0 6 1.648659 0 14.91312 -0.0667 2.397895
1 2.00148 0.3648649 0.01351351 0.0945946 0 6 1.740466 1 14.69098 -0.0152 2.397895
1 1.573811 0.3108808 0.1036269 0.2072539 0 6 2.406945 1 14.52108 0.0531 1.791759
1 4.546481 0.1611877 0.05302227 0.1039236 0 8.75 4.602166 0 17.27498 0.0272 2.70805
1 5.632644 0.1352899 0.05082319 0.0948461 0 8.75 6.228905 1 17.39903 -0.0054 2.70805
1 2.208274 0.03296703 0.2087912 0.3296703 0 5.63 1.960095 0 15.53828 -0.0176 2.70805
